                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.57179,                 4.9031,                 1.0894,                0.00029,                0.24276,                0.00103,                  0.001,                0.20881,                 3.4158,                0.53223,             1.6658e-05,             1.6658e-05,             1.6658e-05
                      2,                0.52406,                 4.5921,                 1.0618,                0.00048,                0.57939,                0.00139,                0.00127,                 0.2045,                 4.3712,                0.52217,             3.2664e-05,             3.2664e-05,             3.2664e-05
                      3,                0.52432,                 4.3281,                 1.0723,                0.00064,                0.84306,                0.00243,                0.00233,                0.19981,                 6.1892,                0.51842,             4.8011e-05,             4.8011e-05,             4.8011e-05
                      4,                0.52393,                 4.1012,                 1.0736,                0.00074,                0.92101,                0.00333,                0.00302,                0.20242,                 5.8735,                0.52403,              4.703e-05,              4.703e-05,              4.703e-05
                      5,                0.51773,                 3.9336,                 1.0704,                0.29239,                0.06864,                0.00533,                0.00483,                0.20701,                 7.7948,                0.52624,              4.703e-05,              4.703e-05,              4.703e-05
                      6,                0.50527,                 3.7925,                 1.0558,                0.41011,                0.05636,                0.00699,                0.00641,                0.20393,                 9.5745,                0.52351,              4.604e-05,              4.604e-05,              4.604e-05
                      7,                0.49581,                 3.6785,                 1.0448,                0.37955,                0.07625,                0.01125,                0.01056,                0.20613,                 11.207,                0.52554,              4.505e-05,              4.505e-05,              4.505e-05
                      8,                0.48353,                 3.5756,                 1.0351,                 0.2976,                0.10078,                0.01319,                0.01245,                0.20257,                 11.691,                0.52325,              4.406e-05,              4.406e-05,              4.406e-05
                      9,                0.47822,                 3.4923,                 1.0308,                0.20657,                0.12673,                0.01802,                0.01715,                0.19835,                 13.282,                0.51876,              4.307e-05,              4.307e-05,              4.307e-05
                     10,                0.47157,                 3.4081,                 1.0212,                0.28732,                0.11905,                0.02021,                0.01885,                0.19739,                 12.756,                0.51671,              4.208e-05,              4.208e-05,              4.208e-05
                     11,                0.47221,                  3.339,                 1.0212,                0.12498,                0.16795,                0.02638,                0.02484,                0.19988,                 14.534,                0.51978,              4.109e-05,              4.109e-05,              4.109e-05
                     12,                0.46688,                 3.2813,                 1.0165,                0.19305,                0.16776,                0.02779,                0.02616,                0.19399,                 13.784,                 0.5153,               4.01e-05,               4.01e-05,               4.01e-05
                     13,                0.46577,                 3.2222,                 1.0146,                 0.1853,                0.19503,                0.03485,                0.03218,                0.19607,                 13.612,                0.51569,              3.911e-05,              3.911e-05,              3.911e-05
                     14,                0.45905,                 3.1749,                 1.0089,                0.15692,                0.20027,                0.03843,                0.03552,                0.20214,                 13.637,                0.51987,              3.812e-05,              3.812e-05,              3.812e-05
                     15,                0.46112,                 3.1324,                 1.0103,                0.19376,                0.18415,                 0.0361,                0.03404,                0.19323,                 14.011,                0.51361,              3.713e-05,              3.713e-05,              3.713e-05
                     16,                 0.4537,                 3.0815,                 1.0039,                0.20377,                0.19703,                0.04473,                0.04217,                0.19684,                 16.823,                0.51783,              3.614e-05,              3.614e-05,              3.614e-05
                     17,                 0.4559,                 3.0494,                 1.0043,                0.18234,                0.20244,                0.05081,                0.04776,                0.19547,                 14.763,                0.51735,              3.515e-05,              3.515e-05,              3.515e-05
                     18,                0.45327,                 3.0072,                 1.0025,                0.14644,                0.23919,                0.05557,                0.05259,                0.19777,                 15.614,                0.52125,              3.416e-05,              3.416e-05,              3.416e-05
                     19,                0.45409,                 2.9667,                 1.0043,                 0.1856,                0.22892,                0.05957,                0.05659,                0.19485,                 15.567,                 0.5166,              3.317e-05,              3.317e-05,              3.317e-05
                     20,                0.45327,                 2.9338,                 1.0013,                0.19508,                0.23003,                0.06075,                0.05747,                0.19535,                   17.4,                0.51735,              3.218e-05,              3.218e-05,              3.218e-05
                     21,                0.44664,                  2.901,                0.99777,                0.21737,                0.23419,                0.06783,                 0.0637,                0.19495,                 16.149,                0.51605,              3.119e-05,              3.119e-05,              3.119e-05
                     22,                0.45044,                 2.8766,                  1.003,                0.13801,                0.29664,                0.07423,                0.06988,                0.19542,                 16.088,                0.51713,               3.02e-05,               3.02e-05,               3.02e-05
                     23,                0.45073,                 2.8507,                 0.9999,                0.21246,                0.24745,                0.07552,                0.07076,                0.19617,                 16.473,                0.51838,              2.921e-05,              2.921e-05,              2.921e-05
                     24,                0.44678,                 2.8205,                0.99876,                 0.1626,                0.27936,                0.07587,                 0.0715,                0.19433,                 16.527,                0.51682,              2.822e-05,              2.822e-05,              2.822e-05
                     25,                0.45161,                 2.7897,                 1.0022,                0.20519,                0.27109,                0.08587,                0.08057,                 0.1966,                 16.589,                0.51899,              2.723e-05,              2.723e-05,              2.723e-05
                     26,                0.44192,                 2.7647,                0.99716,                 0.2438,                0.24084,                0.09058,                0.08535,                0.19692,                 16.504,                0.51916,              2.624e-05,              2.624e-05,              2.624e-05
                     27,                0.44257,                 2.7453,                0.99565,                0.15103,                0.33958,                0.08854,                0.08313,                0.19523,                 16.687,                 0.5193,              2.525e-05,              2.525e-05,              2.525e-05
                     28,                0.44134,                   2.71,                 0.9947,                0.17103,                0.34175,                0.09198,                0.08637,                0.19825,                 17.342,                0.52132,              2.426e-05,              2.426e-05,              2.426e-05
                     29,                0.43844,                 2.6858,                0.99081,                0.10383,                0.34175,                0.09789,                 0.0927,                0.19236,                 17.501,                0.51719,              2.327e-05,              2.327e-05,              2.327e-05
                     30,                0.44139,                 2.6655,                0.99443,                0.12266,                0.39655,                0.09968,                0.09433,                0.19462,                 16.968,                0.51938,              2.228e-05,              2.228e-05,              2.228e-05
                     31,                0.43808,                 2.6435,                 0.9932,                 0.1262,                0.37215,                 0.0993,                0.09367,                0.19547,                 17.565,                0.51841,              2.129e-05,              2.129e-05,              2.129e-05
                     32,                0.43904,                 2.6257,                0.99673,                0.09338,                0.43063,                0.10043,                0.09452,                0.19462,                 17.956,                 0.5194,               2.03e-05,               2.03e-05,               2.03e-05
                     33,                0.44072,                  2.609,                0.99625,                0.10002,                0.40754,                 0.1034,                0.09671,                 0.1957,                 18.175,                0.51985,              1.931e-05,              1.931e-05,              1.931e-05
                     34,                0.43688,                 2.5877,                0.99617,                0.09145,                0.42884,                0.10521,                0.09907,                0.19519,                 17.405,                0.51898,              1.832e-05,              1.832e-05,              1.832e-05
                     35,                0.43398,                 2.5807,                0.99303,                 0.1586,                0.33502,                0.10678,                0.10046,                0.19286,                  18.14,                0.51656,              1.733e-05,              1.733e-05,              1.733e-05
                     36,                0.43675,                   2.56,                0.99361,                0.10186,                 0.4053,                0.10658,                0.10021,                0.19462,                 17.427,                0.51753,              1.634e-05,              1.634e-05,              1.634e-05
                     37,                0.43376,                 2.5441,                0.99136,                0.11534,                0.40761,                0.10893,                 0.1027,                0.19575,                 18.107,                0.51982,              1.535e-05,              1.535e-05,              1.535e-05
                     38,                0.43578,                 2.5318,                0.99462,                0.10038,                0.41211,                0.11301,                0.10613,                  0.194,                 17.425,                0.51792,              1.436e-05,              1.436e-05,              1.436e-05
                     39,                0.43612,                 2.5093,                0.99234,                0.10197,                0.42467,                0.11112,                 0.1041,                0.19701,                 18.354,                0.52004,              1.337e-05,              1.337e-05,              1.337e-05
                     40,                0.43338,                 2.5019,                0.98939,                0.09341,                0.43585,                0.11295,                0.10628,                 0.1951,                  18.52,                  0.518,              1.238e-05,              1.238e-05,              1.238e-05
                     41,                0.32103,                 2.3568,                0.93433,                0.09328,                0.42053,                0.09895,                0.09217,                0.19401,                 27.709,                0.51678,              1.139e-05,              1.139e-05,              1.139e-05
                     42,                0.31748,                 2.2657,                 0.9274,                 0.1145,                0.34947,                0.10387,                0.09752,                0.19215,                 27.938,                0.51564,               1.04e-05,               1.04e-05,               1.04e-05
                     43,                0.31678,                 2.2104,                0.92838,                0.11914,                0.35324,                0.10682,                0.10047,                0.19215,                 28.574,                0.51556,               9.41e-06,               9.41e-06,               9.41e-06
                     44,                0.31499,                 2.1888,                0.92832,                0.10298,                 0.3871,                0.10921,                0.10276,                0.19232,                 28.753,                0.51606,               8.42e-06,               8.42e-06,               8.42e-06
                     45,                0.31136,                 2.1545,                0.92514,                0.10085,                0.40468,                 0.1109,                0.10405,                0.19203,                 28.067,                0.51618,               7.43e-06,               7.43e-06,               7.43e-06
                     46,                 0.3129,                 2.1324,                0.92756,                0.08924,                0.42375,                0.10916,                0.10245,                0.19121,                 28.548,                0.51555,               6.44e-06,               6.44e-06,               6.44e-06
                     47,                0.31256,                 2.1047,                0.92258,                0.09821,                0.41797,                0.10912,                0.10255,                0.19084,                 28.819,                0.51517,               5.45e-06,               5.45e-06,               5.45e-06
                     48,                0.31132,                 2.0983,                0.92216,                0.09634,                0.43023,                0.11216,                0.10569,                0.19043,                 28.639,                0.51438,               4.46e-06,               4.46e-06,               4.46e-06
                     49,                0.30729,                 2.0844,                0.91995,                0.09577,                0.42337,                0.11236,                0.10582,                0.19058,                 28.379,                0.51389,               3.47e-06,               3.47e-06,               3.47e-06
