epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.09162,1.54393,2.11038,2.80069,1.35856,0.5207,0.11688,0.16062,0.08612,0.10617,0.02597,0.03522,0.01046,1.2002,2.0469,2.9708,1.22165,0.000655738,0.000655738,0.000655738
2,11.457,1.34311,1.70717,1.83605,1.21789,0.36407,0.49351,0.32609,0.15574,0.21025,0.33766,0.13128,0.05543,1.41565,1.72735,2.35175,1.29373,0.00129622,0.00129622,0.00129622
3,16.5928,1.31992,1.60256,1.67982,1.19251,0.69087,0.54545,0.62278,0.37652,0.65375,0.45455,0.47766,0.2021,1.51967,1.54162,1.9057,1.4573,0.0019103,0.0019103,0.0019103
4,21.2256,1.31046,1.37752,1.57385,1.19231,0.77002,0.61039,0.64909,0.36918,0.50655,0.53247,0.37173,0.15178,1.32544,1.5309,2.00342,1.24766,0.0018812,0.0018812,0.0018812
5,26.4547,1.31178,1.54065,1.59824,1.17582,0.76888,0.58442,0.61487,0.33956,0.68841,0.50649,0.48435,0.17201,1.53792,1.36912,1.83904,1.29079,0.0018416,0.0018416,0.0018416
6,30.9425,1.2308,1.29194,1.43965,1.14149,0.79347,0.67532,0.72493,0.46362,0.7225,0.55844,0.61675,0.28525,1.22091,1.42857,1.39398,1.12463,0.001802,0.001802,0.001802
7,35.4371,1.24733,1.3274,1.33394,1.15522,0.75014,0.63636,0.71583,0.46397,0.68281,0.58712,0.62749,0.26125,1.24414,1.26553,1.45419,1.11237,0.0017624,0.0017624,0.0017624
8,39.9463,1.17054,1.10368,1.23815,1.10281,0.76584,0.67964,0.73429,0.50534,0.9354,0.58442,0.7102,0.33073,1.16612,1.21356,1.36089,1.1168,0.0017228,0.0017228,0.0017228
9,44.6337,1.09004,1.19092,1.12516,1.0676,0.76376,0.66234,0.7277,0.51172,0.7916,0.62338,0.69669,0.3261,1.13527,1.18979,1.24016,1.08795,0.0016832,0.0016832,0.0016832
10,49.4772,1.08815,1.19843,1.15153,1.09426,0.85305,0.67857,0.75947,0.52704,0.7246,0.58093,0.57758,0.26715,1.07879,1.12643,1.11902,1.08128,0.0016436,0.0016436,0.0016436
